@relation Dataset

@attribute x numeric
@attribute y numeric
@attribute class numeric

@data
-1.9345,-1.412139,0
1.350248,0.797888,1
-2.829217,-0.940211,0
-0.723204,-0.928825,0
-3.02116,-2.209083,0
-3.025922,-3.01594,0
-1.506558,-1.532852,0
1.557697,1.121223,1
-3.295062,-1.520403,0
-3.804434,-3.137412,0
-1.251655,-2.016273,0
2.66437,1.451743,1
2.750693,2.183766,1
0.884954,2.141389,1
-0.619588,-1.238626,0
1.882656,3.445697,1
2.337922,2.367565,1
-1.15836,-0.750771,0
-1.066223,-3.341244,0
1.876612,1.652561,1
-3.322665,-1.669907,0
-1.324833,-1.825285,0
-0.526198,-3.227241,0
-1.308999,-3.11472,0
0.992194,2.297051,1
-3.322843,-2.738224,0
2.63685,2.02643,1
0.134583,3.668045,1
-2.471005,-0.942455,0
0.307607,2.078285,1
0.500381,0.810529,1
1.761763,1.783135,1
-2.496695,-1.574153,0
0.815883,1.448524,1
0.79488,2.54711,1
-4.245173,-2.944335,0
2.314787,1.385092,1
1.826219,0.928354,1
2.615158,-0.053971,1
-3.957416,-2.715509,0
4.198953,2.075816,1
-2.519249,-0.766545,0
-0.429923,-2.740535,0
3.787297,1.769071,1
2.106912,2.652141,1
3.161947,2.161614,1
-1.695965,-1.588717,0
-4.370212,-1.017724,0
1.105119,2.836508,1
2.873793,1.730834,1
1.604216,3.641216,1
-3.143021,-3.06038,0
2.887959,1.843953,1
-2.565444,-2.129101,0
-3.460702,-1.434428,0
-1.215617,-3.953052,0
-1.053522,-2.360255,0
2.867091,3.293741,1
0.208085,2.841561,1
3.048451,2.312826,1
-2.443538,-1.600484,0
-2.138976,-1.878573,0
2.728329,1.799944,1
-1.307602,-1.040909,0
-1.424956,-2.693394,0
3.055778,1.544373,1
2.959916,2.813353,1
-1.817441,-1.39671,0
1.010079,2.816607,1
-3.299361,-1.99626,0
-4.810623,-2.539313,0
3.034407,1.382754,1
-1.798947,-1.417304,0
-0.295632,-1.971182,0
0.565866,-2.677535,0
1.174236,0.547597,1
1.878902,1.413108,1
2.375866,1.616303,1
-2.168395,-1.011871,0
0.423055,2.786842,1
0.718276,3.461404,1
-1.914516,-2.044777,0
-1.374488,-2.000091,0
-0.481301,-3.509483,0
0.91731,1.294349,1
-0.87052,-1.046071,0
-1.9225,-3.928996,0
2.714413,2.097172,1
3.445887,0.760898,1
1.805917,1.31629,1
3.829261,2.015139,1
1.30201,4.330381,1
1.958098,2.610874,1
2.192303,3.14022,1
-3.938064,0.405922,0
-1.610263,-0.792392,0
-0.580358,-0.487678,0
3.052578,2.276666,1
1.243763,2.053058,1
2.421239,2.293003,1
