@relation Dataset

@attribute x numeric
@attribute y numeric
@attribute class numeric

@data
2.490317,1.028243,1
-0.452173,-1.905271,0
3.047721,4.38189,1
-2.359008,-2.383722,0
1.167599,-0.332444,1
-1.747515,-1.114691,0
2.20521,3.871185,1
2.659857,1.049575,1
1.799145,3.401612,1
2.483269,1.029243,1
3.902898,1.561264,1
-2.570061,-2.877359,0
-2.034886,-2.11729,0
2.235024,2.381656,1
-2.658492,-1.406894,0
2.458711,1.639436,1
1.583577,1.686386,1
3.168984,1.492585,1
-2.332207,-2.674699,0
2.545178,2.18751,1
-3.617959,-1.767909,0
2.546104,0.205664,1
-2.436475,-1.271112,0
0.645359,1.756832,1
-4.325316,-1.789434,0
2.957397,1.370393,1
-2.066963,-2.348079,0
1.744018,4.312586,1
-2.118395,-0.999841,0
-3.083576,-0.460567,0
-2.251109,-0.630199,0
2.813764,1.163632,1
0.695156,2.197077,1
1.450879,2.315795,1
-0.928357,-1.667009,0
-1.870814,-1.893521,0
2.836388,1.228901,1
1.624584,2.586159,1
2.935257,1.287704,1
-2.713681,-1.492833,0
2.586534,2.221163,1
-1.765306,-1.966876,0
-2.132393,-1.888193,0
-1.433113,-0.461566,0
0.90167,0.635027,1
3.220889,0.462223,1
-2.172761,-2.196689,0
-1.589414,-2.077767,0
2.696829,2.318729,1
2.13066,4.017139,1
2.670844,1.812967,1
1.890865,4.5012,1
-1.456102,-2.619087,0
-0.011288,-2.613336,0
-1.82845,-3.184186,0
1.438533,1.246514,1
0.688905,2.05864,1
-2.456568,-1.223222,0
2.581608,1.896031,1
3.340277,1.392283,1
-3.203877,-3.145043,0
2.906502,0.767405,1
2.285549,1.48995,1
-2.778005,-0.316172,0
-2.078982,-0.43445,0
-3.793883,-0.263386,0
1.252348,1.403768,1
2.094136,1.760935,1
-3.499351,-1.269303,0
3.052917,3.287168,1
-0.242196,-2.231127,0
3.267808,1.488096,1
-0.668683,-2.38584,0
1.642949,0.780833,1
-3.171678,-2.429358,0
-1.647808,-2.676031,0
3.106242,0.002545,1
2.404586,0.781344,1
-2.434709,-0.016191,0
-1.761161,-4.72017,0
0.891108,2.425952,1
1.008346,0.891718,1
-1.212531,-0.514902,0
1.23339,1.545195,1
1.76068,3.968176,1
-2.399904,-0.670626,0
-2.969663,-1.912983,0
2.103934,0.369836,1
2.602564,2.007989,1
2.700419,0.157176,1
2.14622,3.184725,1
-1.958355,-2.217476,0
-1.629758,-1.839354,0
-3.020506,-2.149308,0
-1.240763,-1.992381,0
-2.790352,-3.343061,0
3.242705,1.534997,1
1.180972,1.86113,1
-2.215099,-3.186304,0
1.344992,-0.819866,1
?,?,?
-2.9,4,2
-4,2.8,2
-0.9,4,2
3.7,4.9,2
4.9,-2.2,2
3.1,2,2
4.9,-2.2,2
4.5,4.5,2
-2.5,3,2
0.3,-4,2
0.4,-4.2,2
2,-3,2
?,?,?
